epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,4513.2,1.37471,0.88387,1.15387,0.61055,0.63777,0.59479,0.29636,2.04543,1.20194,1.60054,0.000367799,0.000367799,0.000367799
98,4559.77,1.36476,0.86919,1.16285,0.62417,0.61527,0.59663,0.29552,2.05386,1.20446,1.60532,0.000356132,0.000356132,0.000356132
99,4606.29,1.33443,0.84654,1.14455,0.65856,0.61146,0.60779,0.30353,2.04639,1.17656,1.6043,0.000344586,0.000344586,0.000344586
100,4653.08,1.35116,0.86329,1.14639,0.60159,0.65732,0.59086,0.29757,2.03457,1.16415,1.59757,0.000333165,0.000333165,0.000333165
101,4699.44,1.36904,0.87013,1.1523,0.58824,0.66938,0.59611,0.30284,2.03114,1.16834,1.59457,0.000321875,0.000321875,0.000321875
102,4746.01,1.33739,0.83785,1.14801,0.62123,0.70234,0.61313,0.30518,2.02873,1.16948,1.61136,0.000310721,0.000310721,0.000310721
103,4792.55,1.32882,0.83875,1.13768,0.63189,0.65805,0.60354,0.30124,2.0349,1.18335,1.60175,0.000299707,0.000299707,0.000299707
104,4839.11,1.32918,0.84665,1.14233,0.63753,0.661,0.60514,0.2956,2.05335,1.18352,1.62286,0.000288839,0.000288839,0.000288839
105,4885.62,1.33285,0.84809,1.14741,0.63429,0.64567,0.5939,0.29733,2.0542,1.17531,1.62881,0.000278121,0.000278121,0.000278121
106,4931.97,1.29656,0.81929,1.12434,0.62855,0.61414,0.59539,0.30185,2.05432,1.17529,1.6252,0.000267558,0.000267558,0.000267558
107,4978.4,1.31818,0.82928,1.13404,0.61283,0.65999,0.59042,0.30168,2.05713,1.18505,1.62102,0.000257154,0.000257154,0.000257154
108,5024.87,1.32271,0.83266,1.13426,0.6593,0.63157,0.61738,0.29591,2.06515,1.19067,1.61821,0.000246915,0.000246915,0.000246915
109,5071.25,1.28653,0.80931,1.11965,0.65471,0.61708,0.60529,0.30136,2.05665,1.16568,1.60806,0.000236844,0.000236844,0.000236844
110,5117.78,1.30363,0.82874,1.12185,0.63281,0.64973,0.60075,0.29734,2.06232,1.16128,1.6111,0.000226946,0.000226946,0.000226946
111,5164.13,1.3179,0.8228,1.13096,0.63487,0.66127,0.60037,0.30105,2.0534,1.18299,1.61779,0.000217225,0.000217225,0.000217225
112,5210.62,1.28869,0.8114,1.12164,0.64573,0.62505,0.59834,0.29764,2.07867,1.18027,1.61662,0.000207686,0.000207686,0.000207686
113,5257.2,1.29311,0.81125,1.12149,0.64824,0.62387,0.606,0.30309,2.06688,1.15823,1.62821,0.000198333,0.000198333,0.000198333
114,5303.95,1.27878,0.80074,1.12095,0.615,0.65341,0.60027,0.29696,2.04789,1.17189,1.60093,0.00018917,0.00018917,0.00018917
115,5350.54,1.26863,0.7893,1.11102,0.59279,0.67608,0.59966,0.30016,2.06065,1.17916,1.62765,0.000180201,0.000180201,0.000180201
116,5396.94,1.29169,0.79418,1.12481,0.64087,0.65296,0.6119,0.30279,2.05095,1.17694,1.61999,0.000171429,0.000171429,0.000171429
117,5443.5,1.28856,0.80822,1.11743,0.61302,0.67391,0.61345,0.30602,2.0435,1.16869,1.60711,0.000162859,0.000162859,0.000162859
118,5490.14,1.27568,0.7968,1.11125,0.60308,0.66273,0.60065,0.30552,2.03581,1.16775,1.60168,0.000154495,0.000154495,0.000154495
119,5536.82,1.26951,0.80114,1.11538,0.61605,0.67527,0.60746,0.30449,2.04817,1.16697,1.61531,0.00014634,0.00014634,0.00014634
120,5583.39,1.25335,0.77723,1.10401,0.61203,0.6576,0.59811,0.29981,2.05856,1.16116,1.63047,0.000138397,0.000138397,0.000138397
121,5629.87,1.26958,0.79444,1.10413,0.64183,0.63821,0.59734,0.29748,2.06855,1.17255,1.6438,0.000130671,0.000130671,0.000130671
122,5676.34,1.26472,0.78441,1.1066,0.63923,0.63906,0.59588,0.29933,2.07282,1.17335,1.63621,0.000123164,0.000123164,0.000123164
123,5722.84,1.26409,0.78091,1.10253,0.63066,0.63625,0.59888,0.29895,2.06835,1.16898,1.64752,0.00011588,0.00011588,0.00011588
124,5769.29,1.25027,0.77242,1.10303,0.62999,0.61509,0.59663,0.30609,2.05969,1.16954,1.6323,0.000108822,0.000108822,0.000108822
125,5815.86,1.24754,0.78628,1.09854,0.62887,0.62345,0.5991,0.29917,2.07641,1.18111,1.63603,0.000101993,0.000101993,0.000101993
126,5862.35,1.25671,0.78495,1.09864,0.63791,0.63879,0.5991,0.30101,2.08003,1.16332,1.64733,9.53968e-05,9.53968e-05,9.53968e-05
127,5908.79,1.24731,0.78881,1.10073,0.66046,0.61592,0.59916,0.30011,2.05936,1.17971,1.61986,8.90352e-05,8.90352e-05,8.90352e-05
128,5955.13,1.24984,0.76372,1.09352,0.60896,0.66271,0.59793,0.30358,2.07106,1.18604,1.63767,8.29115e-05,8.29115e-05,8.29115e-05
129,6001.52,1.24303,0.7692,1.09801,0.62553,0.66043,0.6016,0.30381,2.06519,1.17289,1.63261,7.70283e-05,7.70283e-05,7.70283e-05
130,6047.81,1.24334,0.76262,1.09142,0.60884,0.65696,0.59142,0.30382,2.05894,1.1785,1.63025,7.13883e-05,7.13883e-05,7.13883e-05
131,6115.57,1.05988,0.59175,1.0406,0.60363,0.61498,0.57584,0.29493,2.06934,1.21427,1.64541,6.59937e-05,6.59937e-05,6.59937e-05
132,6161.44,1.05325,0.57765,1.03789,0.62297,0.60365,0.58381,0.295,2.07371,1.20788,1.65576,6.08472e-05,6.08472e-05,6.08472e-05
133,6207.49,1.03246,0.56642,1.02883,0.61513,0.60971,0.58758,0.30037,2.06917,1.20282,1.65459,5.59508e-05,5.59508e-05,5.59508e-05
134,6253.61,1.02792,0.55408,1.02829,0.63248,0.61276,0.59239,0.29778,2.07409,1.20343,1.65899,5.13068e-05,5.13068e-05,5.13068e-05
135,6299.57,1.01991,0.55996,1.02594,0.61597,0.60054,0.58083,0.29802,2.06935,1.20854,1.66143,4.69171e-05,4.69171e-05,4.69171e-05
136,6345.53,1.02684,0.55972,1.03223,0.6137,0.60609,0.58027,0.30058,2.06868,1.21032,1.65795,4.27838e-05,4.27838e-05,4.27838e-05
137,6391.44,1.02464,0.55537,1.02708,0.61895,0.61822,0.58697,0.30028,2.07769,1.20555,1.66555,3.89086e-05,3.89086e-05,3.89086e-05
138,6437.35,1.00934,0.54398,1.01972,0.60254,0.62366,0.58678,0.29835,2.07512,1.19292,1.66326,3.52932e-05,3.52932e-05,3.52932e-05
139,6483.33,1.00621,0.55147,1.01842,0.61718,0.60874,0.57993,0.29995,2.07119,1.20139,1.65556,3.19392e-05,3.19392e-05,3.19392e-05
140,6529.24,1.01945,0.549,1.02282,0.59845,0.61891,0.58034,0.29992,2.07212,1.19938,1.6583,2.88481e-05,2.88481e-05,2.88481e-05
141,6575.28,1.00789,0.54726,1.02164,0.61409,0.60176,0.58401,0.29808,2.07313,1.20011,1.66191,2.60212e-05,2.60212e-05,2.60212e-05
142,6621.36,0.99732,0.54143,1.01152,0.61974,0.61717,0.59265,0.29885,2.07385,1.19709,1.66232,2.34598e-05,2.34598e-05,2.34598e-05
143,6667.36,1.00605,0.54588,1.02819,0.62954,0.6188,0.59036,0.30015,2.07597,1.19528,1.66745,2.1165e-05,2.1165e-05,2.1165e-05
144,6713.35,0.99239,0.53586,1.01223,0.62831,0.61692,0.58938,0.29996,2.07583,1.19021,1.66451,1.91377e-05,1.91377e-05,1.91377e-05
145,6759.29,1.00111,0.53734,1.00849,0.63053,0.61825,0.59215,0.29805,2.08187,1.19748,1.67103,1.7379e-05,1.7379e-05,1.7379e-05
146,6805.32,0.98876,0.5375,1.01059,0.62214,0.61259,0.58599,0.29715,2.08323,1.20249,1.6771,1.58896e-05,1.58896e-05,1.58896e-05
147,6851.19,0.99,0.5296,1.01249,0.62024,0.6163,0.58788,0.29904,2.07833,1.19944,1.66906,1.467e-05,1.467e-05,1.467e-05
148,6897.13,0.9787,0.53073,1.01292,0.6174,0.61563,0.58486,0.29883,2.07587,1.20259,1.67022,1.3721e-05,1.3721e-05,1.3721e-05
149,6942.91,0.98738,0.53394,1.01629,0.61991,0.61516,0.58636,0.29968,2.07523,1.2014,1.67174,1.30427e-05,1.30427e-05,1.30427e-05
150,6988.9,0.99829,0.53885,1.02292,0.61033,0.60788,0.58446,0.29894,2.07919,1.19902,1.67804,1.26357e-05,1.26357e-05,1.26357e-05
